date,payload,created_at
2025-02-10,"{""date"": ""2025-02-10"", ""layer1"": {""dxy"": 128.8215, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": -116.43, ""liquidity_billions"": 5905.69}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.850240
2025-02-11,"{""date"": ""2025-02-11"", ""layer1"": {""dxy"": 128.629, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": -93.22, ""liquidity_billions"": 5928.9}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.851293
2025-02-12,"{""date"": ""2025-02-12"", ""layer1"": {""dxy"": 128.5321, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": -99.51, ""liquidity_billions"": 5917.74}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.852346
2025-02-13,"{""date"": ""2025-02-13"", ""layer1"": {""dxy"": 128.0821, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": -123.11, ""liquidity_billions"": 5917.59}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.853920
2025-02-14,"{""date"": ""2025-02-14"", ""layer1"": {""dxy"": 127.3505, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": -146.23, ""liquidity_billions"": 5926.64}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.855877
2025-02-17,"{""date"": ""2025-02-17"", ""layer1"": {""dxy"": NaN, ""dxy_trend_30d"": ""flat"", ""liquidity_change_30d_b"": NaN, ""liquidity_billions"": NaN}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.857079
2025-02-18,"{""date"": ""2025-02-18"", ""layer1"": {""dxy"": 127.501, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": -166.92, ""liquidity_billions"": 5907.59}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.858204
2025-02-19,"{""date"": ""2025-02-19"", ""layer1"": {""dxy"": 127.9207, ""dxy_trend_30d"": ""flat"", ""liquidity_change_30d_b"": NaN, ""liquidity_billions"": 5919.07}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.859316
2025-02-20,"{""date"": ""2025-02-20"", ""layer1"": {""dxy"": 127.3057, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": -167.77, ""liquidity_billions"": 5929.06}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.860402
2025-02-21,"{""date"": ""2025-02-21"", ""layer1"": {""dxy"": 127.3285, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": -107.21, ""liquidity_billions"": 5923.29}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.861475
